,high,close,low,open,volume,adjclose
2021-01-04,133.61000061035156,129.41000366210938,126.76000213623047,133.52000427246094,143301900,128.6171112060547
2021-01-05,131.74000549316406,131.00999450683594,128.42999267578125,128.88999938964844,97664900,130.20729064941406
2021-01-06,131.0500030517578,126.5999984741211,126.37999725341797,127.72000122070312,155088000,125.82432556152344
2021-01-07,131.6300048828125,130.9199981689453,127.86000061035156,128.36000061035156,109578200,130.11785888671875
2021-01-08,132.6300048828125,132.0500030517578,130.22999572753906,132.42999267578125,105158200,131.2409210205078
2021-01-11,130.1699981689453,128.97999572753906,128.5,129.19000244140625,100384500,128.1897430419922
2021-01-12,129.69000244140625,128.8000030517578,126.86000061035156,128.5,91951100,128.01084899902344
2021-01-13,131.4499969482422,130.88999938964844,128.49000549316406,128.75999450683594,88636800,130.08802795410156
2021-01-14,131.0,128.91000366210938,128.75999450683594,130.8000030517578,90221800,128.12017822265625
2021-01-15,130.22000122070312,127.13999938964844,127.0,128.77999877929688,111598500,126.36100769042969
2021-01-19,128.7100067138672,127.83000183105469,126.94000244140625,127.77999877929688,90757300,127.04679107666016
2021-01-20,132.49000549316406,132.02999877929688,128.5500030517578,128.66000366210938,104319500,131.22105407714844
2021-01-21,139.6699981689453,136.8699951171875,133.58999633789062,133.8000030517578,120150900,136.03140258789062
2021-01-22,139.85000610351562,139.07000732421875,135.02000427246094,136.27999877929688,114459400,138.21792602539062
2021-01-25,145.08999633789062,142.9199981689453,136.5399932861328,143.07000732421875,157611700,142.0443115234375
2021-01-26,144.3000030517578,143.16000366210938,141.3699951171875,143.60000610351562,98390600,142.28286743164062
2021-01-27,144.3000030517578,142.05999755859375,140.41000366210938,143.42999267578125,140843800,141.18959045410156
2021-01-28,141.99000549316406,137.08999633789062,136.6999969482422,139.52000427246094,142621100,136.25003051757812
2021-01-29,136.74000549316406,131.9600067138672,130.2100067138672,135.8300018310547,177523800,131.15147399902344
2021-02-01,135.3800048828125,134.13999938964844,130.92999267578125,133.75,106239800,133.31809997558594
2021-02-02,136.30999755859375,134.99000549316406,134.61000061035156,135.72999572753906,83305400,134.1629180908203
2021-02-03,135.77000427246094,133.94000244140625,133.61000061035156,135.75999450683594,89880900,133.11935424804688
2021-02-04,137.39999389648438,137.38999938964844,134.58999633789062,136.3000030517578,84183100,136.5482177734375
2021-02-05,137.4199981689453,136.75999450683594,135.86000061035156,137.35000610351562,75693800,136.1251678466797
2021-02-08,136.9600067138672,136.91000366210938,134.9199981689453,136.02999877929688,71297200,136.2744903564453
2021-02-09,137.8800048828125,136.00999450683594,135.85000610351562,136.6199951171875,76774200,135.37864685058594
2021-02-10,136.99000549316406,135.38999938964844,134.39999389648438,136.47999572753906,73046600,134.7615203857422
2021-02-11,136.38999938964844,135.1300048828125,133.77000427246094,135.89999389648438,64280000,134.50274658203125
2021-02-12,135.52999877929688,135.3699951171875,133.69000244140625,134.35000610351562,60145100,134.74160766601562
2021-02-16,136.00999450683594,133.19000244140625,132.7899932861328,135.49000549316406,80576300,132.57176208496094
2021-02-17,132.22000122070312,130.83999633789062,129.47000122070312,131.25,97918500,130.232666015625
2021-02-18,130.0,129.7100067138672,127.41000366210938,129.1999969482422,96856700,129.10789489746094
2021-02-19,130.7100067138672,129.8699951171875,128.8000030517578,130.24000549316406,87668800,129.2671661376953
2021-02-22,129.72000122070312,126.0,125.5999984741211,128.00999450683594,103916400,125.41513061523438
2021-02-23,126.70999908447266,125.86000061035156,118.38999938964844,123.76000213623047,158273000,125.27577209472656
2021-02-24,125.55999755859375,125.3499984741211,122.2300033569336,124.94000244140625,111039900,124.76814270019531
2021-02-25,126.45999908447266,120.98999786376953,120.54000091552734,124.68000030517578,148199500,120.42838287353516
2021-02-26,124.8499984741211,121.26000213623047,121.19999694824219,122.58999633789062,164560400,120.69712829589844
2021-03-01,127.93000030517578,127.79000091552734,122.79000091552734,123.75,116307900,127.19682312011719
2021-03-02,128.72000122070312,125.12000274658203,125.01000213623047,128.41000366210938,102260900,124.5392074584961
2021-03-03,125.70999908447266,122.05999755859375,121.83999633789062,124.80999755859375,112966300,121.493408203125
